,,,,,,,ALL APPLICANTS,,,,,SIBLING APPLICANTS,,,,,"Elementary School Attendance Area APPLICANTS
Only relevant for elementary school grades (TK-5)",,,,,"Middle School Feeder APPLICANTS
Only relevant for 6th grade applicants",,,,,CTIP1 APPLICANTS (LOW TEST SCORE AREA TIEBREAKER),,,,,APPLICANTS WITH NO TIEBREAKERS,,,,
,Aptos MS7GE,431,Aptos MS,7,GE,General Education,36,8,23%,14,40%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,0,13%,2,88%,34,8,23%,13,37%
,Aptos MS8GE,431,Aptos MS,8,GE,General Education,15,8,54%,12,83%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,25%,1,100%,14,8,56%,11,82%
,Aptos MS6MM,431,Aptos MS,6,MM,SDC - Mild to Moderate,15,3,17%,10,63%,0,0,100%,0,100%,0,0,-,0,-,1,0,50%,1,100%,6,1,22%,5,78%,9,1,9%,4,50%
,Aptos MS7MM,431,Aptos MS,7,MM,SDC - Mild to Moderate,2,0,17%,1,67%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,50%,0,50%,1,0,0%,1,75%
,Aptos MS8MM,431,Aptos MS,8,MM,SDC - Mild to Moderate,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Aptos MS6MN,431,Aptos MS,6,MN,Mandarin Immersion (Mandarin Speakers),67,49,73%,61,92%,8,7,97%,8,100%,0,0,-,0,-,51,44,87%,47,92%,9,6,69%,8,91%,14,5,35%,13,95%
,Aptos MS7MN,431,Aptos MS,7,MN,Mandarin Immersion (Mandarin Speakers),3,2,69%,3,77%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%,3,2,64%,2,73%
,Aptos MS8MN,431,Aptos MS,8,MN,Mandarin Immersion (Mandarin Speakers),1,1,100%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,100%,1,100%
,Aptos MS6SA,431,Aptos MS,6,SA,SDC - Extensive Support w Autism Focus,7,3,38%,6,96%,0,0,100%,0,100%,0,0,-,0,-,1,1,80%,1,100%,3,1,30%,3,100%,3,1,33%,3,92%
,Aptos MS7SA,431,Aptos MS,7,SA,SDC - Extensive Support w Autism Focus,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%
,Aptos MS8SA,431,Aptos MS,8,SA,SDC - Extensive Support w Autism Focus,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%
New for 26-27,Argonne EESTKGE644,903,Argonne EES,TK,GE644,Jefferson ES TK Feeder - General Education,180,20,11%,100,56%,5,4,80%,4,80%,25,8,32%,11,44%,0,0,-,0,-,7,0,0%,7,100%,127,0,0%,62,49%
,Argonne ESKAF,435,Argonne ES,K,AF,SDC – Mild/Mod Autism Focus,14,4,26%,12,85%,0,0,-,0,-,1,1,100%,1,100%,0,0,-,0,-,3,1,17%,3,100%,10,3,25%,8,80%
,Argonne ES1AF,435,Argonne ES,1,AF,SDC – Mild/Mod Autism Focus,2,0,0%,0,14%,0,0,-,0,-,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,2,0,0%,0,17%
,Argonne ES2AF,435,Argonne ES,2,AF,SDC – Mild/Mod Autism Focus,1,1,67%,1,67%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,67%,1,67%
,Argonne ES3AF,435,Argonne ES,3,AF,SDC – Mild/Mod Autism Focus,1,0,50%,0,50%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,50%,0,50%
,Argonne ES4AF,435,Argonne ES,4,AF,SDC – Mild/Mod Autism Focus,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%
,Argonne ES5AF,435,Argonne ES,5,AF,SDC – Mild/Mod Autism Focus,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
Opened in 24-25,Argonne ESTKGE,435,Argonne ES,TK,GE,General Education,224,18,8%,129,58%,13,7,58%,13,100%,35,15,42%,24,67%,0,0,-,0,-,6,0,6%,6,100%,179,0,0%,95,53%
,Argonne ESKGE,435,Argonne ES,K,GE,General Education,457,62,14%,387,85%,14,13,96%,14,100%,58,46,78%,58,100%,0,0,-,0,-,12,2,14%,12,100%,382,11,3%,313,82%
,Argonne ES1GE,435,Argonne ES,1,GE,General Education,16,6,35%,15,95%,0,0,-,0,-,2,1,50%,2,100%,0,0,-,0,-,0,0,-,0,-,14,5,33%,14,95%
,Argonne ES2GE,435,Argonne ES,2,GE,General Education,13,4,27%,10,73%,1,0,50%,0,50%,2,1,56%,2,67%,0,0,-,0,-,1,0,33%,1,67%,10,2,18%,7,74%
,Argonne ES3GE,435,Argonne ES,3,GE,General Education,13,5,35%,10,79%,0,0,0%,0,100%,1,1,40%,1,40%,0,0,-,0,-,1,0,0%,0,50%,11,4,36%,9,84%
,Argonne ES4GE,435,Argonne ES,4,GE,General Education,11,4,34%,10,86%,0,0,-,0,-,2,1,67%,1,67%,0,0,-,0,-,1,0,50%,1,100%,9,3,28%,8,89%
,Argonne ES5GE,435,Argonne ES,5,GE,General Education,9,2,21%,6,68%,0,0,-,0,-,1,0,33%,1,67%,0,0,-,0,-,1,0,50%,1,100%,7,1,17%,5,66%
,Asawa (Ruth) SOTA HS13CA,815,Asawa (Ruth) SOTA HS,13,CA,SDC - Transition Program (CAT),1,0,0%,1,50%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,50%
,Asawa (Ruth) SOTA HS9GE,815,Asawa (Ruth) SOTA HS,9,GE,General Education,617,192,31%,335,54%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,515,167,32%,274,53%
,Asawa (Ruth) SOTA HS10GE,815,Asawa (Ruth) SOTA HS,10,GE,General Education,18,0,1%,5,26%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,3,0,0%,0,8%,15,0,2%,4,29%
,Asawa (Ruth) SOTA HS11GE,815,Asawa (Ruth) SOTA HS,11,GE,General Education,7,0,0%,2,33%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,0,50%,6,0,0%,2,32%
,Asawa (Ruth) SOTA HS12GE,815,Asawa (Ruth) SOTA HS,12,GE,General Education,3,0,0%,1,38%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,0,0%,3,0,0%,1,45%
,Asawa (Ruth) SOTA HS9MM,815,Asawa (Ruth) SOTA HS,9,MM,SDC - Mild to Moderate,10,2,18%,7,70%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,4,1,20%,3,73%,6,1,16%,4,68%
,Asawa (Ruth) SOTA HS11MM,815,Asawa (Ruth) SOTA HS,11,MM,SDC - Mild to Moderate,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%
,Asawa (Ruth) SOTA HS12MM,815,Asawa (Ruth) SOTA HS,12,MM,SDC - Mild to Moderate,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Balboa HS13CA,439,Balboa HS,13,CA,SDC - Transition Program (CAT),22,4,20%,14,64%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,4,2,53%,4,100%,18,2,13%,10,56%
,Balboa HS9GE,439,Balboa HS,9,GE,General Education,1542,354,23%,1287,83%,55,47,85%,55,100%,0,0,-,0,-,0,0,-,0,-,314,90,29%,314,100%,1169,221,19%,914,78%
,Balboa HS10GE,439,Balboa HS,10,GE,General Education,43,13,30%,27,63%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,7,4,62%,7,100%,36,9,24%,20,56%
,Balboa HS11GE,439,Balboa HS,11,GE,General Education,22,6,28%,17,76%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,4,1,29%,3,76%,18,5,28%,14,76%
,Balboa HS12GE,439,Balboa HS,12,GE,General Education,11,5,48%,11,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,3,1,45%,3,100%,8,4,48%,8,100%
,Balboa HS9MM,439,Balboa HS,9,MM,SDC - Mild to Moderate,29,9,30%,26,90%,1,0,50%,1,100%,0,0,-,0,-,0,0,-,0,-,9,4,40%,9,100%,19,5,23%,17,86%
,Balboa HS10MM,439,Balboa HS,10,MM,SDC - Mild to Moderate,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%
,Balboa HS11MM,439,Balboa HS,11,MM,SDC - Mild to Moderate,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%
,Balboa HS12MM,439,Balboa HS,12,MM,SDC - Mild to Moderate,1,0,0%,0,50%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,0,0,0%,0,0%
,Balboa HS9MS,439,Balboa HS,9,MS,SDC - Extensive Support,4,1,29%,3,71%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,2,1,29%,1,57%,2,1,22%,2,78%
,Balboa HS10MS,439,Balboa HS,10,MS,SDC - Extensive Support,1,0,33%,1,67%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,1,0,50%,0,50%
,Balboa HS11MS,439,Balboa HS,11,MS,SDC - Extensive Support,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,0%
,Balboa HS12MS,439,Balboa HS,12,MS,SDC - Extensive Support,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Brown Jr. (Willie) MS6GE,858,Brown Jr. (Willie) MS,6,GE,General Education,402,188,47%,387,96%,10,9,95%,10,100%,0,0,-,0,-,0,0,-,0,-,96,41,43%,96,100%,273,127,47%,258,94%
,Brown Jr. (Willie) MS7GE,858,Brown Jr. (Willie) MS,7,GE,General Education,8,6,67%,8,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,3,1,45%,3,100%,6,4,77%,6,100%
,Brown Jr. (Willie) MS8GE,858,Brown Jr. (Willie) MS,8,GE,General Education,7,3,46%,7,96%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,1,38%,2,100%,4,2,53%,4,94%
Opened in 24-25,Brown Jr. (Willie) MS6MM,858,Brown Jr. (Willie) MS,6,MM,SDC - Mild to Moderate,4,1,25%,4,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,1,29%,2,100%,1,0,25%,1,100%
Opened in 24-25,Brown Jr. (Willie) MS7MM,858,Brown Jr. (Willie) MS,7,MM,SDC - Mild to Moderate,1,0,0%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,100%
Opened in 24-25,Brown Jr. (Willie) MS8MM,858,Brown Jr. (Willie) MS,8,MM,SDC - Mild to Moderate,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
Opened in 24-25,Bryant ESTKGE,456,Bryant ES,TK,GE,General Education,82,34,42%,81,99%,2,2,100%,2,100%,4,1,17%,4,100%,0,0,-,0,-,20,2,8%,20,100%,59,31,53%,58,99%
,Bryant ESKGE,456,Bryant ES,K,GE,General Education,71,17,24%,71,100%,2,2,100%,2,100%,8,3,40%,8,100%,0,0,-,0,-,24,3,13%,24,100%,42,11,25%,42,99%
,Bryant ES1GE,456,Bryant ES,1,GE,General Education,4,2,40%,4,93%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,100%,3,2,46%,3,92%
,Bryant ES2GE,456,Bryant ES,2,GE,General Education,2,1,38%,2,88%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,1,0,50%,1,100%,1,0,20%,1,80%
,Bryant ES3GE,456,Bryant ES,3,GE,General Education,4,1,29%,4,100%,0,0,100%,0,100%,0,0,100%,0,100%,0,0,-,0,-,1,0,0%,1,100%,2,1,29%,2,100%
,Bryant ES4GE,456,Bryant ES,4,GE,General Education,2,1,57%,2,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,100%,1,1,80%,1,100%
,Bryant ES5GE,456,Bryant ES,5,GE,General Education,2,0,11%,2,89%,0,0,-,0,-,0,0,100%,0,100%,0,0,-,0,-,1,0,25%,1,100%,1,0,0%,1,80%
,Bryant ESKSB,456,Bryant ES,K,SB,Spanish Biliteracy,52,16,30%,50,97%,5,4,94%,5,100%,0,0,-,0,-,0,0,-,0,-,26,7,27%,26,100%,22,6,26%,20,92%
,Bryant ES1SB,456,Bryant ES,1,SB,Spanish Biliteracy,1,0,0%,1,60%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,67%,0,0,-,0,-
,Bryant ES2SB,456,Bryant ES,2,SB,Spanish Biliteracy,3,1,18%,2,64%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,20%,1,60%,1,0,0%,1,75%
,Bryant ES3SB,456,Bryant ES,3,SB,Spanish Biliteracy,3,0,10%,2,70%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,0,13%,1,63%,0,0,0%,0,100%
,Bryant ES4SB,456,Bryant ES,4,SB,Spanish Biliteracy,2,0,0%,1,33%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,67%,0,0,-,0,-
,Bryant ES5SB,456,Bryant ES,5,SB,Spanish Biliteracy,1,0,0%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,100%,0,0,-,0,-
,Buena Vista Horace Mann K-8KMM,618,Buena Vista Horace Mann K-8,K,MM,SDC - Mild to Moderate,6,3,52%,6,96%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,1,44%,2,100%,4,2,57%,3,93%
,Buena Vista Horace Mann K-81MM,618,Buena Vista Horace Mann K-8,1,MM,SDC - Mild to Moderate,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%
,Buena Vista Horace Mann K-82MM,618,Buena Vista Horace Mann K-8,2,MM,SDC - Mild to Moderate,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Buena Vista Horace Mann K-83MM,618,Buena Vista Horace Mann K-8,3,MM,SDC - Mild to Moderate,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Buena Vista Horace Mann K-84MM,618,Buena Vista Horace Mann K-8,4,MM,SDC - Mild to Moderate,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,0,0,-,0,-
,Buena Vista Horace Mann K-85MM,618,Buena Vista Horace Mann K-8,5,MM,SDC - Mild to Moderate,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
New for 26-27,Buena Vista Horace Mann K-86MM,618,Buena Vista Horace Mann K-8,6,MM,SDC - Mild to Moderate,4,0,0%,4,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,3,0,0%,3,100%,1,0,0%,1,100%
,Buena Vista Horace Mann K-8KSE,618,Buena Vista Horace Mann K-8,K,SE,Spanish Immersion (Non-Native),103,26,25%,94,92%,7,7,100%,7,100%,0,0,-,0,-,0,0,-,0,-,31,11,36%,31,100%,66,11,17%,58,87%
,Buena Vista Horace Mann K-81SE,618,Buena Vista Horace Mann K-8,1,SE,Spanish Immersion (Non-Native),5,1,24%,5,86%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,20%,1,100%,4,1,29%,3,93%
,Buena Vista Horace Mann K-8KSN,618,Buena Vista Horace Mann K-8,K,SN,Spanish Immersion (Spanish Speakers),78,25,32%,78,100%,11,10,95%,11,100%,0,0,-,0,-,0,0,-,0,-,32,11,34%,32,100%,37,8,22%,37,100%
,Buena Vista Horace Mann K-81SN,618,Buena Vista Horace Mann K-8,1,SN,Spanish Immersion (Spanish Speakers),7,3,41%,6,85%,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,4,1,31%,3,81%,1,1,50%,1,100%
,Buena Vista Horace Mann K-82SN,618,Buena Vista Horace Mann K-8,2,SN,Spanish Immersion (Spanish Speakers),8,4,45%,7,90%,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,4,2,50%,4,100%,1,1,75%,1,100%
,Buena Vista Horace Mann K-83SN,618,Buena Vista Horace Mann K-8,3,SN,Spanish Immersion (Spanish Speakers),8,2,24%,6,76%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,5,1,20%,4,85%,1,0,0%,1,100%
,Buena Vista Horace Mann K-84SN,618,Buena Vista Horace Mann K-8,4,SN,Spanish Immersion (Spanish Speakers),10,3,25%,7,65%,1,1,50%,1,50%,0,0,-,0,-,0,0,-,0,-,5,1,28%,3,72%,1,1,50%,1,100%
,Buena Vista Horace Mann K-85SN,618,Buena Vista Horace Mann K-8,5,SN,Spanish Immersion (Spanish Speakers),7,3,41%,5,72%,1,0,50%,1,100%,0,0,-,0,-,0,0,-,0,-,4,1,36%,2,64%,1,0,33%,1,100%
,Buena Vista Horace Mann K-86SN,618,Buena Vista Horace Mann K-8,6,SN,Spanish Immersion (Spanish Speakers),130,7,5%,79,60%,3,2,60%,2,90%,0,0,-,0,-,1,1,50%,1,100%,61,5,9%,38,63%,4,0,6%,3,65%
,Buena Vista Horace Mann K-87SN,618,Buena Vista Horace Mann K-8,7,SN,Spanish Immersion (Spanish Speakers),3,1,31%,3,92%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,2,0,14%,2,86%,1,1,40%,1,100%
