"record_type","cds_code","district","school","status","open_date","charter_yesno","educational_program_type","entity_type","low_grade","high_grade","public_yesno","website","latitude","longitude","street_address","street_city","street_state","street_zip","phone","point","analysis_neighborhood","supervisor_district","data_as_of","data_loaded_at"
"School","38,684,786,142,079","San Francisco Unified","Brightworks School","Active","2011/10/03 12:00:00 AM","false","No Data","Elementary School (Private)","K","12","false","sfbrightworks.org","37.800303","-122.468741","682 Schofield Rd","San Francisco","CA","94129-1198","(415) 701-8700","POINT (-122.468741 37.800303)","Presidio","2","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,170,146","San Francisco Unified","Brilliant Microschool","Active","2024/08/13 12:00:00 AM","false","No Data","K-12 Schools (Private)","1","12","false","Brilliantgrades.com","37.777794","-122.436875","859 Scott St.","San Francisco","CA","94117-1641","(415) 271-3029","POINT (-122.436875 37.777794)","Western Addition","5","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,780,132,241","San Francisco Unified","Brown Jr. (Willie L) Middle","Active","2015/08/17 12:00:00 AM","false","Traditional","Intermediate/Middle Schools (Public)","6","8","true","No Data","37.735911","-122.399692","2055 Silver Ave.","San Francisco","CA","94122-2032","(415) 642-8901","POINT (-122.399692 37.735911)","Bayview Hunters Point","10","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,040,778","San Francisco Unified","Bryant Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.751628","-122.404906","2641 25th St.","San Francisco","CA","94110-3514","(415) 695-5780","POINT (-122.404906 37.751628)","Mission","9","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,062,046","San Francisco Unified","Buena Vista/ Horace Mann K-8","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","8","true","No Data","37.753715","-122.419745","3351 23rd St.","San Francisco","CA","94110-3031","(415) 695-5881","POINT (-122.419745 37.753715)","Mission","9","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,783,830,254","San Francisco Unified","Burton (Phillip and Sala) Academic High","Active","1980/07/01 12:00:00 AM","false","Traditional","High Schools (Public)","9","12","true","No Data","37.720698","-122.405071","400 Mansell St.","San Francisco","CA","94134-1829","(415) 469-4550","POINT (-122.405071 37.720698)","Portola","9","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,040,752","San Francisco Unified","Carmichael (Bessie)/FEC","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","8","true","No Data","37.775856","-122.406742","375 Seventh St.","San Francisco","CA","94103-4020","(415) 355-6916","POINT (-122.406742 37.775856)","South of Market","6","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,093,496","San Francisco Unified","Carver (George Washington) Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.732403","-122.386385","1360 Oakdale Ave.","San Francisco","CA","94124-2724","(415) 330-1540","POINT (-122.386385 37.732403)","Bayview Hunters Point","10","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,965,586","San Francisco Unified","Cathedral School for Boys","Active","1980/07/01 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","https://www.cathedralschool.net/","37.792394","-122.413896","1275 Sacramento St.","San Francisco","CA","94108-1910","(415) 771-6600","POINT (-122.413896 37.792394)","Nob Hill","3","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,041,149","San Francisco Unified","Chavez (Cesar) Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.754880","-122.415419","825 Shotwell St.","San Francisco","CA","94110-3212","(415) 695-5765","POINT (-122.415419 37.75488)","Mission","9","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,787,096,514","San Francisco Unified","Children's Day School","Active","1980/07/01 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","www.cds-sf.org","37.763988","-122.425053","333 Dolores St.","San Francisco","CA","94110-1006","(415) 861-5432","POINT (-122.425053 37.763988)","Mission","8","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,113,252","San Francisco Unified","Chin (John Yehall) Elementary","Active","1995/09/05 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.798310","-122.403175","350 Broadway St.","San Francisco","CA","94133-4503","(415) 291-7946","POINT (-122.403175 37.79831)","North Beach","3","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,168,041","San Francisco Unified","Chinese American International School- 19th Ave Campus","Active","2023/09/13 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","www.cais.org","37.729205","-122.473880","3250 19Th Ave","San Francisco","CA","94132-2007","(415) 861-7866","POINT (-122.47388 37.729205)","West of Twin Peaks","7","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,780,120,386","San Francisco Unified","Chinese Immersion School at DeAvila","Active","2009/08/24 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","www.sfusd.edu","37.769464","-122.444292","1250 Waller St.","San Francisco","CA","94117-2919","(415) 241-6325","POINT (-122.444292 37.769464)","Haight Ashbury","5","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,780,107,300","San Francisco Unified","City Arts & Leadership Academy","Active","2004/08/25 12:00:00 AM","true","Traditional","High Schools (Public)","9","12","true","www.es-cal.org","37.721751","-122.444866","350 Seneca Ave.","San Francisco","CA","94112-3248","(415) 841-8910","POINT (-122.444866 37.721751)","Outer Mission","11","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,040,828","San Francisco Unified","Clarendon Alternative Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.752989","-122.456111","500 Clarendon Ave.","San Francisco","CA","94131-1113","(415) 759-2796","POINT (-122.456111 37.752989)","Inner Sunset","7","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,040,836","San Francisco Unified","Cleveland Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.720733","-122.429048","455 Athens St.","San Francisco","CA","94112-2801","(415) 469-4709","POINT (-122.429048 37.720733)","Excelsior","11","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,040,968","San Francisco Unified","Cobb (William L.) Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.788174","-122.439189","2725 California St.","San Francisco","CA","94115-2513","(415) 749-3505","POINT (-122.439189 37.788174)","Pacific Heights","2","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,158,596","San Francisco Unified","Convent & Stuart Hall, Schools of the Sacred Heart - San Francisco","Active","1887/12/30 12:07:00 PM","false","No Data","K-12 Schools (Private)","K","12","false","https://www.sacredsf.org","37.794657","-122.434294","2222 BRd.way St","San Francisco","CA","94115","(415) 563-2900","POINT (-122.434294 37.794657)","Pacific Heights","2","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,780,117,507","San Francisco Unified","Cooper (Sarah B.) Children Center","Active","2008/06/01 12:00:00 AM","false","Traditional","Preschool","P","P","true","No Data","37.800719","-122.414845","940 Filbert St.","San Francisco","CA","94133-2606","(415) 749-3550","POINT (-122.414845 37.800719)","Russian Hill","3","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,903,165","San Francisco Unified","Cornerstone Academy-Silver Campus","Active","1980/07/01 12:00:00 AM","false","No Data","K-12 Schools (Private)","K","3","false","www.cornerstone-academy.net","37.729063","-122.419485","801 Silver Ave.","San Francisco","CA","94134-1011","(415) 587-7256","POINT (-122.419485 37.729063)","Portola","9","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,133,763","San Francisco Unified","Cornerstone Academy–Cambridge Campus","Active","2008/11/10 12:00:00 AM","false","No Data","K-12 Schools (Private)","4","8","false","www.cornerstone-academy.net","37.724604","-122.417563","501 Cambridge St.","San Francisco","CA","94134-1609","(415) 585-5183","POINT (-122.417563 37.724604)","Portola","9","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,112,601","San Francisco Unified","Creative Arts Charter","Active","1994/09/07 12:00:00 AM","true","Traditional","Elementary Schools (Public)","K","8","true","www.creativeartscharter.org","37.780030","-122.435434","1601 Turk St.","San Francisco","CA","94115-4527","(415) 749-3509","POINT (-122.435434 37.78003)","Western Addition","5","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,787,104,466","San Francisco Unified","De Marillac Academy","Active","2004/08/12 12:00:00 AM","false","No Data","Elementary School (Private)","4","8","false","www.demarillac.org","37.781659","-122.413344","175 Golden Gate Ave.","San Francisco","CA","94102-3809","(415) 552-5220","POINT (-122.413344 37.781659)","Tenderloin","5","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,059,869","San Francisco Unified","Denman (James) Middle","Active","1980/07/01 12:00:00 AM","false","Traditional","Intermediate/Middle Schools (Public)","6","8","true","No Data","37.721993","-122.443314","241 Oneida Ave.","San Francisco","CA","94112-3228","(415) 469-4535","POINT (-122.443314 37.721993)","Outer Mission","11","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,158,372","San Francisco Unified","Donum Dei Classical Academy","Active","2019/05/13 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","https://www.donumdei.org/","37.745905","-122.412703","1550 Treat Ave.","San Francisco","CA","94110-5234","(415) 874-9631","POINT (-122.412703 37.745905)","Bernal Heights","9","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,783,830,064","San Francisco Unified","Downtown High","Active","1980/07/01 12:00:00 AM","false","Continuation School","Continuation High Schools","9","12","true","No Data","37.760939","-122.404072","693 Vermont St.","San Francisco","CA","94107-2635","(415) 695-5860","POINT (-122.404072 37.760939)","Potrero Hill","10","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,104,673","San Francisco Unified","Drew (Charles) College Preparatory Academy","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.731779","-122.393550","50 Pomona Ave.","San Francisco","CA","94124-2344","(415) 330-1526","POINT (-122.39355 37.731779)","Bayview Hunters Point","10","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,939,557","San Francisco Unified","Drew School","Active","1980/07/01 12:00:00 AM","false","No Data","High Schools (Private)","9","12","false","https://www.drewschool.org","37.787687","-122.442530","2901 California St.","San Francisco","CA","94115-2432","(415) 409-3739","POINT (-122.44253 37.787687)","Pacific Heights","2","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,170,120","San Francisco Unified","Eclipse Academy","Active","2024/08/12 12:00:00 AM","false","No Data","K-12 Schools (Private)","3","12","false","https://www.eclipseacademy.com/","37.754645","-122.415624","862 Shotwell St.","San Francisco","CA","94110-3251","(415) 779-4110","POINT (-122.415624 37.754645)","Mission","9","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,981,500","San Francisco Unified","Ecole Notre Dame Des Victoires","Active","1980/07/01 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","www.ndvsf.org","37.791311","-122.406709","659 Pine St.","San Francisco","CA","94108-3210","(415) 421-0069","POINT (-122.406709 37.791311)","Financial District/South Beach","3","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,908,917","San Francisco Unified","Edgewood Community School","Active","1980/07/01 12:00:00 AM","false","Nonpublic Certified School","K-12 Schools (Private)","9","12","false","www.edgewood.org","37.738609","-122.486047","1801 Vicente St.","San Francisco","CA","94116-2923","(415) 858-2409","POINT (-122.486047 37.738609)","Sunset/Parkside","4","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,040,950","San Francisco Unified","El Dorado Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","P","5","true","No Data","37.719265","-122.406737","70 Delta St.","San Francisco","CA","94134-2145","(415) 330-1537","POINT (-122.406737 37.719265)","McLaren Park","10","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,170,740","San Francisco Unified","Enlighten Academy","Active","2024/10/08 12:00:00 AM","false","No Data","K-12 Schools (Private)","6","12","false","No Data","37.787767","-122.406120","166 Geary St. Ste. 1500","San Francisco","CA","94108-5628","(510) 788-0455","POINT (-122.40612 37.787767)","Financial District/South Beach","3","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,787,044,605","San Francisco Unified","Eureka Learning Center","Active","1980/07/01 12:00:00 AM","false","No Data","Kindergartens (Private)","K","K","false","www.eurekalearningcenter.com","37.754966","-122.437008","464 Diamond St.","San Francisco","CA","94114-2823","(415) 648-0380","POINT (-122.437008 37.754966)","Noe Valley","8","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,062,038","San Francisco Unified","Everett Middle","Active","1980/07/01 12:00:00 AM","false","Traditional","Intermediate/Middle Schools (Public)","6","8","true","No Data","37.763667","-122.428581","450 Church St.","San Francisco","CA","94114-1721","(415) 241-6344","POINT (-122.428581 37.763667)","Castro/Upper Market","8","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,780,111,427","San Francisco Unified","Feinstein (Dianne) Elementary","Active","2006/08/28 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.739964","-122.481857","2550 25th Ave.","San Francisco","CA","94116-2901","(415) 615-8460","POINT (-122.481857 37.739964)","Sunset/Parkside","4","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,780,101,774","San Francisco Unified","Five Keys Charter (SF Sheriff's)","Active","2003/09/29 12:00:00 AM","true","Traditional","High Schools (Public)","9","12","true","www.fivekeyscharter.org","37.777211","-122.402165","70 Oak Grove St.","San Francisco","CA","94107-1019","(415) 734-3310","POINT (-122.402165 37.777211)","South of Market","6","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,780,118,141","San Francisco Unified","Five Keys Independence HS (SF Sheriff's)","Active","2008/09/02 12:00:00 AM","true","Traditional","High Schools (Public)","9","12","true","www.fivekeyscharter.org","37.777170","-122.402140","70 Oak Grove","San Francisco","CA","94107-1019","(415) 734-3310","POINT (-122.40214 37.77717)","South of Market","6","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,041,347","San Francisco Unified","Flynn (Leonard R.) Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.748190","-122.412037","3125 Cesar Chavez St.","San Francisco","CA","94110-4722","(415) 695-5770","POINT (-122.412037 37.74819)","Bernal Heights","9","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,059,844","San Francisco Unified","Francisco Middle","Active","1980/07/01 12:00:00 AM","false","Traditional","Intermediate/Middle Schools (Public)","6","8","true","No Data","37.804816","-122.411689","2190 Powell St.","San Francisco","CA","94133-1949","(415) 291-7900","POINT (-122.411689 37.804816)","North Beach","3","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,143,440","San Francisco Unified","Fusion Academy San Francisco","Active","2012/04/07 12:00:00 AM","false","No Data","K-12 Schools (Private)","6","12","false","https://www.fusionacademy.com/campuses/san-francisco/","37.801789","-122.401438","1160 Battery St. Ste. 40","San Francisco","CA","94111-1215","(415) 765-9078","POINT (-122.401438 37.801789)","Financial District/South Beach","3","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,783,831,765","San Francisco Unified","Galileo High","Active","1980/07/01 12:00:00 AM","false","Traditional","High Schools (Public)","9","12","true","No Data","37.803401","-122.424082","1150 Francisco St.","San Francisco","CA","94109-1004","(415) 749-3430","POINT (-122.424082 37.803401)","Russian Hill","2","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,041,040","San Francisco Unified","Garfield Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.801800","-122.406734","420 Filbert St.","San Francisco","CA","94133-3002","(415) 291-7924","POINT (-122.406734 37.8018)","North Beach","3","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,783,830,437","San Francisco Unified","Gateway High","Active","1998/08/31 12:00:00 AM","true","Traditional","High Schools (Public)","9","12","true","www.gatewayhigh.org","37.783129","-122.437739","1430 Scott St.","San Francisco","CA","94115-3510","(415) 749-3600","POINT (-122.437739 37.783129)","Western Addition","5","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,780,123,265","San Francisco Unified","Gateway Middle","Active","2011/08/11 12:00:00 AM","true","Traditional","Intermediate/Middle Schools (Public)","6","8","true","www.gatewaymiddle.org","37.779439","-122.436008","1512 Golden Gate Ave.","San Francisco","CA","94115-4515","(415) 922-1001","POINT (-122.436008 37.779439)","Western Addition","5","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,162,549","San Francisco Unified","German International School of Silicon Valley","Active","2021/11/16 12:00:00 AM","false","No Data","Elementary School (Private)","K","12","false","gissv.org","37.760246","-122.436904","117 Diamond St.","San Francisco","CA","94114-2413","(650) 254-0748","POINT (-122.436904 37.760246)","Castro/Upper Market","8","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,059,828","San Francisco Unified","Giannini (A.P.) Middle","Active","1980/07/01 12:00:00 AM","false","Traditional","Intermediate/Middle Schools (Public)","6","8","true","No Data","37.751425","-122.497022","3151 Ortega St.","San Francisco","CA","94122-4051","(415) 759-2770","POINT (-122.497022 37.751425)","Sunset/Parkside","4","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,041,073","San Francisco Unified","Glen Park Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.733107","-122.436088","151 Lippard Ave.","San Francisco","CA","94131-3249","(415) 469-4713","POINT (-122.436088 37.733107)","West of Twin Peaks","8","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,041,115","San Francisco Unified","Grattan Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.763858","-122.450526","165 Grattan St.","San Francisco","CA","94117-4208","(415) 759-2815","POINT (-122.450526 37.763858)","Haight Ashbury","8","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,041,123","San Francisco Unified","Guadalupe Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.710438","-122.434416","859 Prague St.","San Francisco","CA","94112-4516","(415) 469-4718","POINT (-122.434416 37.710438)","Excelsior","11","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,040,760","San Francisco Unified","Harte (Bret) Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.718610","-122.388897","1035 Gilman Ave.","San Francisco","CA","94124-3710","(415) 330-1520","POINT (-122.388897 37.71861)","Bayview Hunters Point","10","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,780,117,564","San Francisco Unified","Havard (Leola M.) Early Education","Active","2008/06/01 12:00:00 AM","false","Traditional","Preschool","P","P","true","No Data","37.733772","-122.388876","1520 Oakdale Ave.","San Francisco","CA","94124-2323","(415) 695-5660","POINT (-122.388876 37.733772)","Bayview Hunters Point","10","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,041,156","San Francisco Unified","Hillcrest Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.729026","-122.419248","810 Silver Ave.","San Francisco","CA","94134-1012","(415) 469-4722","POINT (-122.419248 37.729026)","Excelsior","9","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,939,607","San Francisco Unified","Hillwood Academic Day","Active","1980/07/01 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","hillwoodschool.com","37.793323","-122.440119","2521 Scott St.","San Francisco","CA","94115-1137","(415) 931-0400","POINT (-122.440119 37.793323)","Pacific Heights","2","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,981,278","San Francisco Unified","Holy Name Elementary","Active","1980/07/01 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","www.holynamesf.com","37.757809","-122.498388","1560 40th Ave.","San Francisco","CA","94122-3030","(415) 731-4077","POINT (-122.498388 37.757809)","Sunset/Parkside","4","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
